x,y,geo_code,distance,vertical_der,analytic_signal,mag_field,Target
606412.5,6181112.332,12,2647.64,-0.226963,0.258501,-44.8387,0
606512.5,6181112.332,12,2630.59,-0.244459,0.268187,-48.1577,0
606612.5,6181112.332,10,2617.25,-0.200907,0.230437,-45.0366,0
606712.5,6181112.332,10,2607.68,-0.183084,0.216422,-40.1868,0
606812.5,6181112.332,10,2601.92,-0.174476,0.220077,-33.6807,0
606912.5,6181112.332,10,2600,-0.108797,0.205033,-22.8593,0
607012.5,6181112.332,14,2601.92,0.0318235,0.131484,-11.0481,0
607112.5,6181112.332,14,2607.68,0.0310282,0.143583,-13.9844,0
607212.5,6181112.332,14,2617.25,-0.180979,0.307711,-33.8655,0
607312.5,6181112.332,14,2630.59,-0.312945,0.382608,-51.094,0
607412.5,6181112.332,14,2647.64,-0.365058,0.408083,-58.8141,0
607512.5,6181112.332,14,2668.33,-0.370484,0.431251,-56.122,0
607612.5,6181112.332,14,2692.58,-0.236319,0.380657,-41.3217,0
607712.5,6181112.332,14,2720.29,-0.251429,0.394778,-31.3185,0
607812.5,6181112.332,14,2751.36,-0.188838,0.329105,-20.121,0
603412.5,6181012.264,10,3811.82,0.01662,0.103349,13.9731,0
603512.5,6181012.264,10,3805.26,0.0153101,0.126233,6.30576,0
603612.5,6181012.264,10,3801.32,-0.0760979,0.160968,-5.59781,0
603712.5,6181012.264,10,3800,-0.135368,0.164728,-15.0995,0
603812.5,6181012.264,10,3801.32,-0.122925,0.1356,-18.4845,0
603912.5,6181012.264,10,3805.26,-0.0803548,0.0969625,-17.7983,0
604012.5,6181012.264,10,3811.82,-0.0343702,0.0855026,-16.2411,0
604112.5,6181012.264,10,3753.66,-0.0811033,0.153836,-19.4545,0
604212.5,6181012.264,10,3679.67,-0.163857,0.214755,-25.3403,0
604312.5,6181012.264,10,3606.94,-0.213023,0.251121,-29.207,0
604412.5,6181012.264,10,3535.53,-0.235617,0.261304,-28.8639,0
604512.5,6181012.264,10,3465.54,-0.193609,0.245799,-20.7676,0
604612.5,6181012.264,10,3397.06,-0.0269321,0.186655,-4.27153,0
604712.5,6181012.264,10,3330.17,0.118226,0.160577,9.8953,0
604812.5,6181012.264,14,3264.97,0.102695,0.147131,12.7788,0
604912.5,6181012.264,14,3201.56,0.0382791,0.154617,9.68415,0
605012.5,6181012.264,14,3140.06,-0.0355397,0.158094,4.8409,0
605112.5,6181012.264,14,3080.58,-0.106037,0.178849,1.77923,0
605212.5,6181012.264,14,3023.24,-0.0993475,0.194283,5.20382,0
605312.5,6181012.264,14,2968.16,0.011521,0.198186,15.2004,0
605412.5,6181012.264,14,2915.48,0.0281746,0.200669,24.9199,0
605512.5,6181012.264,14,2865.31,0.146247,0.21408,38.5787,0
605612.5,6181012.264,14,2817.8,0.276249,0.279718,50.3305,0
605712.5,6181012.264,14,2773.08,0.438903,0.430364,54.9758,0
605812.5,6181012.264,14,2731.3,0.248742,0.472868,32.2046,0
605912.5,6181012.264,14,2692.58,-0.0627188,0.284933,-1.91589,0
606012.5,6181012.264,14,2657.07,-0.0790918,0.187152,-17.7983,0
606112.5,6181012.264,14,2624.88,-0.128304,0.170192,-28.1248,0
606212.5,6181012.264,14,2596.15,-0.0648239,0.0924921,-31.2525,0
606312.5,6181012.264,14,2570.99,-0.0820389,0.121727,-35.6735,0
606412.5,6181012.264,12,2549.51,-0.149402,0.180056,-42.6348,0
606512.5,6181012.264,12,2531.8,-0.177751,0.198824,-45.7954,0
606612.5,6181012.264,10,2517.94,-0.172184,0.195773,-43.8819,0
606712.5,6181012.264,10,2507.99,-0.201749,0.231501,-40.1142,0
606812.5,6181012.264,10,2502,-0.159787,0.244345,-29.7745,0
606912.5,6181012.264,14,2500,0.0192397,0.208546,-12.0445,0
607012.5,6181012.264,14,2502,0.190782,0.188713,-0.0221374,0
607112.5,6181012.264,14,2507.99,0.119957,0.248673,-10.6654,0
607212.5,6181012.264,14,2517.94,-0.206053,0.33794,-37.719,0
607312.5,6181012.264,14,2531.8,-0.340826,0.383921,-54.3866,0
607412.5,6181012.264,14,2549.51,-0.351164,0.391194,-56.1088,0
607512.5,6181012.264,14,2570.99,-0.360941,0.450055,-46.165,0
607612.5,6181012.264,14,2596.15,-0.120445,0.399851,-20.3651,0
